date,sku_id,units_sold,price,on_promo,views
2023-08-28,SKU_01,410,1086.39,1,5741
2023-08-29,SKU_01,258,825.41,0,2327
2023-08-30,SKU_01,271,289.37,0,3222
2023-08-31,SKU_01,262,1033.81,0,3095
2023-09-01,SKU_01,253,838.93,0,7348
2023-09-02,SKU_01,249,862.97,0,5997
2023-09-03,SKU_01,264,915.35,0,6442
2023-09-04,SKU_01,234,1258.03,0,5749
2023-09-05,SKU_01,251,495.36,0,5179
2023-09-06,SKU_01,274,488.84,0,2423
2023-09-07,SKU_01,237,742.25,0,2872
2023-09-08,SKU_01,480,685.26,1,13407
2023-09-09,SKU_01,435,79.63,1,9610
2023-09-10,SKU_01,234,858.66,0,5502
2023-09-11,SKU_01,234,758.73,0,3019
2023-09-12,SKU_01,264,1241.23,0,6101
2023-09-13,SKU_01,262,768.26,0,7348
2023-09-14,SKU_01,217,841.64,0,5847
2023-09-15,SKU_01,218,550.74,0,3127
2023-09-16,SKU_01,223,387.83,0,2673
2023-09-17,SKU_01,325,390.11,0,5415
2023-09-18,SKU_01,401,817.1,1,11309
2023-09-19,SKU_01,250,238.21,0,5692
2023-09-20,SKU_01,229,1064.26,0,2764
2023-09-21,SKU_01,255,229.42,0,5879
2023-09-22,SKU_01,250,406.7,0,2223
2023-09-23,SKU_01,277,559.69,0,6138
2023-09-24,SKU_01,273,1005.22,0,3274
2023-09-25,SKU_01,238,342.29,0,3100
2023-09-26,SKU_01,259,608.03,0,3864
2023-09-27,SKU_01,263,784.16,0,5539
2023-09-28,SKU_01,237,754.11,0,4497
2023-09-29,SKU_01,552,353.26,1,12089
2023-09-30,SKU_01,303,661.56,0,7320
2023-10-01,SKU_01,297,1174.01,0,2352
2023-10-02,SKU_01,244,511.61,0,5323
2023-10-03,SKU_01,491,67.05,1,4366
2023-10-04,SKU_01,252,769.03,0,5657
2023-10-05,SKU_01,253,1021.99,0,3011
2023-10-06,SKU_01,241,52.64,0,2795
2023-10-07,SKU_01,584,31.7,1,16340
2023-10-08,SKU_01,314,1087.52,0,4375
2023-10-09,SKU_01,268,72.29,0,6933
2023-10-10,SKU_01,341,734.71,1,6288
2023-10-11,SKU_01,247,777.15,0,5667
2023-10-12,SKU_01,252,963.02,0,6239
2023-10-13,SKU_01,237,357.96,0,4181
2023-10-14,SKU_01,323,156.93,0,7612
2023-10-15,SKU_01,281,527.95,0,6591
2023-10-16,SKU_01,265,931.81,0,4519
2023-10-17,SKU_01,230,315.33,0,3353
2023-10-18,SKU_01,266,609.73,0,7849
2023-10-19,SKU_01,260,1018.9,0,6342
2023-10-20,SKU_01,275,404.52,0,3147
2023-10-21,SKU_01,494,507.64,0,5516
2023-10-22,SKU_01,312,760.69,0,5097
2023-10-23,SKU_01,273,525.16,0,4152
2023-10-24,SKU_01,517,77.5,1,4549
2023-10-25,SKU_01,276,993.78,0,6556
2023-10-26,SKU_01,257,1071.25,0,5926
2023-10-27,SKU_01,224,63.53,0,4463
2023-10-28,SKU_01,226,108.55,0,2393
2023-10-29,SKU_01,333,777.8,0,8869
2023-10-30,SKU_01,284,870.95,0,6091
2023-10-31,SKU_01,279,497.37,0,6643
2023-11-01,SKU_01,243,301.57,0,2968
2023-11-02,SKU_01,259,652.9,0,3865
2023-11-03,SKU_01,246,1193.43,0,4982
